id;temp;active;reoccup;exito;prod;brood;dist.PPA;area.ppa.voronoi;area.voronoi.miles;area.ppa.circulo;area.circulo.miles;nndist;elevacion;slope;aspect
Pau 13;2019;1;1;1;2;2;79.77;5430.397313;5.430397313;4218.463091;4.218463091;;42.91666667;27.13006105;210.36
Pau 13;2020;1;1;1;2;2;79.77;;;4218.463091;4.218463091;;42.91666667;27.13006105;210.36
Pau 14;2014;1;;0;0;;29.37;3890.189776;3.890189776;4061.89415;4.06189415;133;60.96;22.07381838;219.71
Pau 14;2015;;;;;;;;;4061.89415;4.06189415;;60.96;22.07381838;219.71
Pau 14;2016;1;1;1;1;1;29.37;3890.189776;3.890189776;4061.89415;4.06189415;133;60.96;22.07381838;219.71
Pau 14;2017;1;1;0;0;;29.37;3890.189776;3.890189776;4061.89415;4.06189415;133;60.96;22.07381838;219.71
Pau 14;2018;1;1;0;0;;29.37;3890.189763;3.890189763;4061.89415;4.06189415;133;60.96;22.07381838;219.71
Pau 14;2019;0;0;;;;29.37;;;4061.89415;4.06189415;;60.96;22.07381838;219.71
Pau 19;2014;1;;1;2;2;43.11;9353.21122;9.35321122;5411.445524;5.411445524;318;133.375;22.96789278;177.82
Pau 19;2015;0;0;;;;43.11;;;5411.445524;5.411445524;;133.375;22.96789278;177.82
Pau 19;2016;1;1;;;;43.11;8458.963336;8.458963336;5411.445524;5.411445524;318;133.375;22.96789278;177.82
Pau 19;2017;1;1;;;;43.11;12377.87169;12.37787169;5411.445524;5.411445524;444;133.375;22.96789278;177.82
Pau 19;2018;;;;;;;;;5411.445524;5.411445524;;133.375;22.96789278;177.82
Pau 19;2019;;;;;;;;;5411.445524;5.411445524;;133.375;22.96789278;177.82
Pau 20;2014;1;;1;2;2;0;8224.054295;8.224054295;8465.451454;8.465451454;263;117.0961538;10.42702373;176.74
Pau 20;2015;0;0;;;;0;;;8465.451454;8.465451454;;117.0961538;10.42702373;176.74
Pau 20;2016;1;1;1;1;1;0;8224.054295;8.224054295;8465.451454;8.465451454;263;117.0961538;10.42702373;176.74
Pau 20;2017;1;1;1;1;1;0;9519.507856;9.519507856;8465.451454;8.465451454;333;117.0961538;10.42702373;176.74
Pau 20;2018;0;0;;;;0;;;8465.451454;8.465451454;263;117.0961538;10.42702373;176.74
Pau 20;2019;1;1;1;1;1;0;;;8465.451454;8.465451454;;117.0961538;10.42702373;176.74
Pau 22;2014;;;;;;;;;8729.123861;8.729123861;;110.7692308;10.48681015;231.23
Pau 22;2015;;;;;;;;;8729.123861;8.729123861;;110.7692308;10.48681015;231.23
Pau 22;2016;1;;1;2;2;6;9491.985586;9.491985586;8729.123861;8.729123861;119;110.7692308;10.48681015;231.23
Pau 22;2017;1;1;1;1;1;6;9124.582717;9.124582717;8729.123861;8.729123861;119;110.7692308;10.48681015;231.23
Pau 22;2018;1;1;1;1;1;6;8367.57989;8.36757989;8729.123861;8.729123861;119;110.7692308;10.48681015;231.23
Pau 22;2019;1;1;1;2;2;6;9124.582729;9.124582729;8729.123861;8.729123861;;110.7692308;10.48681015;231.23
Pau 22;2020;1;1;1;1;1;6;;;8729.123861;8.729123861;;110.7692308;10.48681015;231.23
Pau 23;2014;;;;;;;;;6530.796252;6.530796252;;93.58823529;8.710827571;231.07
Pau 23;2015;;;;;;;;;6530.796252;6.530796252;;93.58823529;8.710827571;231.07
Pau 23;2016;1;;1;2;2;5;7540.032443;7.540032443;6530.796252;6.530796252;374;93.58823529;8.710827571;231.07
Pau 23;2017;1;1;1;2;2;5;7540.032443;7.540032443;6530.796252;6.530796252;374;93.58823529;8.710827571;231.07
Pau 23;2018;1;1;0;0;;5;7540.032443;7.540032443;6530.796252;6.530796252;374;93.58823529;8.710827571;231.07
Pau 23;2019;1;1;1;1;1;5;5926.285179;5.926285179;6530.796252;6.530796252;;93.58823529;8.710827571;231.07
Pau 27;2014;;;;;;;;;7661.707427;7.661707427;;87.51020408;6.168086614;235.47
Pau 27;2015;;;;;;;;;7661.707427;7.661707427;;87.51020408;6.168086614;235.47
Pau 27;2016;1;;1;2;2;9;7971.75213;7.97175213;7661.707427;7.661707427;221;87.51020408;6.168086614;235.47
Pau 27;2017;0;0;;;;9;;;7661.707427;7.661707427;229;87.51020408;6.168086614;235.47
Pau 27;2018;1;1;1;1;1;9;7971.75213;7.97175213;7661.707427;7.661707427;221;87.51020408;6.168086614;235.47
Pau 27;2019;0;0;;;;9;;;7661.707427;7.661707427;;87.51020408;6.168086614;235.47
Pau 28;2014;;;;;;;;;882.3396711;0.882339671;;87.7;29.60246918;281.76
Pau 28;2015;;;;;;;;;882.3396711;0.882339671;;87.7;29.60246918;281.76
Pau 28;2016;1;;;;;14;1448.891921;1.448891921;882.3396711;0.882339671;528;87.7;29.60246918;281.76
Pau 28;2017;;;;;;;;;882.3396711;0.882339671;;87.7;29.60246918;281.76
Pau 28;2018;;;;;;;;;882.3396711;0.882339671;;87.7;29.60246918;281.76
Pau 28;2019;;;;;;;;;882.3396711;0.882339671;;87.7;29.60246918;281.76
Pau 29;2014;;;;;;;;;12758.54617;12.75854617;;70.25490196;4.386954438;260.12
Pau 29;2015;;;;;;;;;12758.54617;12.75854617;;70.25490196;4.386954438;260.12
Pau 29;2016;;;;;;;;;12758.54617;12.75854617;;70.25490196;4.386954438;260.12
Pau 29;2017;1;;1;2;2;8;23480.06087;23.48006087;12758.54617;12.75854617;31;70.25490196;4.386954438;260.12
Pau 29;2018;;;;;;;;;12758.54617;12.75854617;;70.25490196;4.386954438;260.12
Pau 29;2019;;;;;;;;;12758.54617;12.75854617;;70.25490196;4.386954438;260.12
Pau 32;2014;;;;;;;;;4063.927633;4.063927633;;70.53846154;21.79268356;177.4
Pau 32;2015;;;;;;;;;4063.927633;4.063927633;;70.53846154;21.79268356;177.4
